,trips
2020-03-01,780219
2020-02-29,5603
2020-03-02,648912
2020-03-03,697798
2020-03-04,708065
2020-03-05,731656
2020-03-06,873517
2020-03-07,887260
2020-03-08,728148
2020-03-09,628813
2020-03-10,626369
2020-03-11,628609
2020-03-12,643230
2020-03-13,661432
2020-03-14,569556
2020-03-15,447181
2020-03-16,391081
2020-03-17,312085
2020-03-18,269258
2020-03-19,252764
2020-03-20,262023
2020-03-21,215661
2020-03-22,162004
2020-03-23,162343
2020-03-24,141719
2020-03-25,141074
2020-03-26,141644
2020-03-27,159481
2020-03-28,138392
2020-03-29,115416
2020-03-30,132537
2020-03-31,129077
2020-04-01,1
